Course Title,Professors,Maximum Class Size,Initial Enrollment,Ending Enrollment
CHEM*2700 Organic Chemistry I (0.5 Credits),"Tam, W",56,56,56
CHEM*2720 Organic Chemistry I (0.5 Credits),"Tam, W",100,86,69
CHEM*2820 Thermodynamics and Kinetics (0.5 Credits),"Chen, L",12,10,10
CHEM*2880 Physical Chemistry (0.5 Credits),"Jones, L",140,140,108
CHEM*3430 Analytical Chemistry II (0.5 Credits),"Huang, R",48,43,41
CHEM*3440 Chemical Instrumentation (0.5 Credits),"Huang, R",14,13,12
CHEM*3640 Main Group Chemistry (0.5 Credits),"Schlaf, M",40,39,33
CHEM*3750 Organic Chemistry II (0.5 Credits),"O'Flaherty, D",84,84,84
CHEM*3860 Quantum and Comp. Chemistry (0.5 Credits),"Chen, L",30,13,12
CHEM*4730 Advanced Organic Synthesis (0.5 Credits),"Tam, W",28,27,25
CHEM*4900 Chemistry Research Project I (1 Credits),"Monteiro, M",10,10,10
CHEM*4910 Chemistry Research Project II (1 Credits),"Monteiro, M",10,8,7
CIS*1200 Introduction to Computing (0.5 Credits),"Lange, J",900,895,862
CIS*1250 Software Design I (0.5 Credits),"Antonie, L",120,120,120
CIS*1300 Programming (0.5 Credits),"Gong, M, Chaturvedi, R",660,616,582
CIS*1500 Introduction to Programming (0.5 Credits),"Kemp, J",481,425,362
CIS*1910 Discrete Structures in Comp I (0.5 Credits),"Matsakis, P",560,525,495
CIS*2030 Structure/Applicat - Microcomp (0.5 Credits),"Grewal, G",330,311,289
CIS*2430 Object Oriented Programming (0.5 Credits),"Song, F",322,322,310
CIS*2520 Data Structures (0.5 Credits),"Yan, Y",420,420,416
CIS*2750 Software System Dvlmt & Intgrn (0.75 Credits),"Kremer, S",60,50,37
CIS*3050 Systems Programming (0.5 Credits),"Hamilton-Wright, A",76,44,34
CIS*3090 Parallel Programming (0.5 Credits),"Nikitenko, D",75,69,64
CIS*3130 System Modeling and Sim. (0.5 Credits),"Wineberg, M",55,54,48
CIS*3150 Theory of Computation (0.5 Credits),"Sawada, J",140,140,133
CIS*3210 Computer Networks (0.5 Credits),"Nikitenko, D",140,132,131
CIS*3250 Software Design III (0.5 Credits),"Scott, S",80,63,62
CIS*3260 Software Design IV (0.5 Credits),"Wineberg, M",80,62,62
CIS*3530 Data Base Systems & Concepts (0.5 Credits),"Obimbo, C",160,108,103
CIS*3750 Syst Analysis & Design in App (0.75 Credits),"Gillis, D",120,120,120
CIS*3760 Software Engineering (0.75 Credits),"McCuaig, J",120,116,116
CIS*4050 Digital Systems II (0.5 Credits),"Randhawa, G",0,0,0
CIS*4150 Software Reliability & Testing (0.5 Credits),"Sykes, E",50,50,50
CIS*4300 Human Computer Interaction (0.5 Credits),"Flatla, D",50,50,50
CIS*4510 Computer Security Foundations (0.5 Credits),"Khan, H",66,32,30
CIS*4780 Computational Intelligence (0.5 Credits),"Randhawa, G",40,40,40
CIS*4900 Computer Science Project (0.5 Credits),,25,12,12
CIS*4910 Computer Science Thesis (0.5 Credits),,25,2,2
CLAS*1000 Intro. to Classical Culture (0.5 Credits),"Walsh, J",589,532,481
CLAS*2150 Western Art: Greece (0.5 Credits),"Sherwood, A",40,34,20
CLAS*3000 The Rise and Fall of Athens (0.5 Credits),"Sherwood, A",75,56,44
CLAS*3700 Experiential Learning & Lang (0.5 Credits),"Walsh, J",1,1,1
CLAS*3900 Gender/Sexuality in Antiquity (0.5 Credits),"Oliver, J",75,75,69
CLAS*4150 Research Paper in Classics (0.5 Credits),"Oliver, J, Sherwood, A, Walsh, J",3,3,3
COOP*1000 Work Term I (0.5 Credits),,500,62,68
COOP*1100 Introduction to Coop Education (0 Credits),"Powell, H",700,660,621
COOP*2000 Work Term II (0.5 Credits),,500,446,450
COOP*3000 Work Term III (0.5 Credits),,500,122,122
COOP*4000 Work Term IV (0.5 Credits),,500,74,75
COOP*5000 Work Term V (0.5 Credits),,500,87,87
"CREA*1000 Intro. Arts, Health, Well (0.5 Credits)","Barnstaple, R",59,58,57
CROP*3310 Protein and Oilseed Crops (0.5 Credits),"Correndo, A",60,26,23
CROP*3340 Managed Grasslands (0.5 Credits),"Schneider, K",36,35,34
CROP*4240 Weed Science (0.5 Credits),"Tardif, F",36,34,33
CROP*4260 Crop Science Field Trip (0.5 Credits),"Lee, E",45,45,45
CRWR*1000 Elements of Storytelling (0.5 Credits),"Leung, C",100,100,100
CRWR*2150 Speculative Fiction Workshop (0.5 Credits),"Watters, B",40,39,39
CRWR*2200 Creative Nonfiction: Nature (0.5 Credits),"Henighan, S",35,22,20
CRWR*2400 Screenwriting Workshop (0.5 Credits),"Chang, E",40,40,39
CRWR*3100 Fiction Writing Workshop (0.5 Credits),"Leung, C",35,30,28
CRWR*3200 Creative Nonfiction Writing (0.5 Credits),"Hill, L",35,23,23
CRWR*3300 Poetry Workshop: Ecopoetics (0.5 Credits),"Watters, B",25,12,12
CRWR*4100 Capstone Prose/Narrative (1 Credits),"Hill, L",25,15,15
CRWR*4400 Capstone Scriptwriting (1 Credits),,0,0,0
CTS*1000 Culture & Technology: Keywords (0.5 Credits),"Obbard, K",94,90,85
CTS*2000 Scripting for the Humanities (0.5 Credits),"Miya, C",50,50,47
CTS*3020 Digital Storytelling (0.5 Credits),"Martin, K",35,35,30
CTS*4000 Digital Publishing (0.5 Credits),"Miya, C",20,14,12
CTS*4010 Project Mgmt & Prototyping (0.5 Credits),"Brown, S",5,3,3
CTS*4030 Independent Project (0.5 Credits),"Martin, K",1,1,1
ECON*1050 Introductory Microeconomics (0.5 Credits),"Chi, E, Adomait, E",1800,1740,1485
ECON*1100 Introductory Macroeconomics (0.5 Credits),"Chi, E",400,357,293
ECON*2100 Econ Growth & Environ Quality (0.5 Credits),"McKitrick, R",75,75,73
ECON*2310 Intermediate Microeconomics (0.5 Credits),"Qiu, Y, Goertz, J",230,230,203
ECON*2410 Intermediate Macroeconomics (0.5 Credits),"Kosempel, S",120,119,101
ECON*2740 Economic Statistics (0.5 Credits),"Stengos, T",220,217,183
ECON*2770 Intro Mathematical Economics (0.5 Credits),"Zeng, J",240,238,224
ECON*3500 Urban Economics (0.5 Credits),"Mok, D",100,99,98
ECON*3520 Labour Economics (0.5 Credits),"Plesca, M",120,120,115
ECON*3530 Industrial Organization (0.5 Credits),"Thille, H",60,21,16
ECON*3610 Public Economics (0.5 Credits),"Amegashie, J",60,38,36
ECON*3710 Advanced Microeconomics (0.5 Credits),"Sadanand, A",100,100,75
ECON*3740 Introduction to Econometrics (0.5 Credits),"Maynard, A",180,168,145
ECON*4400 Managerial Economics (0.5 Credits),"Auld, D",32,32,32
ECON*4640 Advanced Econometrics (0.5 Credits),"Maynard, A",30,10,7
ECON*4700 Advanced Mathematical Econ (0.5 Credits),"Thille, H",39,8,7
ECON*4710 Adv Topics in Microeconomics (0.5 Credits),"Qiu, Y",30,22,21
ECON*4830 Economic Development (0.5 Credits),"Grogan, L",45,37,28
ECON*4900 Special Study in Economics (0.5 Credits),"Ferguson, B",11,9,9
ECON*4910 Special Study in Economics (0.5 Credits),,1,1,1
ECON*4930 Environmental Economics (0.5 Credits),"McKitrick, R",30,30,29
EDRD*4120 Leadership Dvlpmt/ Small Comm (0.5 Credits),"Klages, G",190,189,169
ENGG*1070 Occupational Health & Safety (0.25 Credits),"Eltaggaz, A",150,150,148
ENGG*1100 Engineering and Design I (0.75 Credits),"Abdullah, H, Mattucci, S, Xu, B",708,682,667
ENGG*1410 Intro Program for Engineers (0.5 Credits),"Ebrahim, Y, Abou El Nasr, M",203,195,194
ENGG*1500 Engineering Analysis (0.5 Credits),"Chang, S",224,223,209
ENGG*2010 Intro Biological Engineering (0.5 Credits),"Kaur, G",34,26,26
ENGG*2100 Engineering and Design II (0.75 Credits),"Brandon, S",88,88,88
ENGG*2120 Material Science (0.5 Credits),"Elsayed, A",112,112,112
ENGG*2130 Intro to Environmental Eng (0.5 Credits),"Bradford, A",60,57,57
ENGG*2160 Engineering Mechanics II (0.5 Credits),"Elsayed, A",234,234,232
ENGG*2230 Fluid Mechanics (0.5 Credits),"Santos, R",215,198,194
ENGG*2400 Engineering Systems Analysis (0.5 Credits),"Farrow, C, Vale, J",430,409,402
ENGG*2410 Digital Systems Design (0.5 Credits),"Areibi, S",160,159,153
ENGG*3010 Intro Bioprocess Engineering (0.5 Credits),"Kaur, G",20,9,9
ENGG*3020 Heat & Mass Trans Bio/Env Sys (0.5 Credits),"Singh, A",20,8,8
ENGG*3050 Embedded Reconfig Comp Syst (0.5 Credits),"Martin, T",80,69,66
ENGG*3070 Integrated Manuf Systems (0.5 Credits),"Nouzil, I",110,92,84
ENGG*3080 Energy Resources & Tech. (0.5 Credits),"Clemmer, R",130,95,94
ENGG*3140 Mechanical Vibration (0.5 Credits),"Hassan, M",120,117,112
ENGG*3150 Engineering Biomechanics (0.5 Credits),"Brandon, S",88,87,82
ENGG*3180 Air Quality (0.5 Credits),"Lubitz, W",44,39,39
ENGG*3240 Engineering Economics (0.5 Credits),"Wu, P",236,234,217
ENGG*3260 Thermodynamics (0.5 Credits),"Tasnim, S",336,322,321
ENGG*3280 Machine Design (0.75 Credits),"Mattucci, S, Hegab, H",174,168,165
ENGG*3390 Signal Processing (0.5 Credits),"Ukwatta, E, Aboagye, S",212,211,205
ENGG*3450 Electronic Devices (0.5 Credits),"Abou El Nasr, M",222,203,199
ENGG*3510 Electromechanical Devices (0.5 Credits),"Saha, J",189,167,166
ENGG*3590 Water Quality (0.5 Credits),"Zhou, H",66,57,56
ENGG*3640 Microcomputer Interfacing (0.5 Credits),"Mahmood, A",108,94,92
ENGG*3650 Hydrology (0.5 Credits),"Daggupati, N",60,56,55
ENGG*3670 Soil Mechanics (0.5 Credits),"Gharabaghi, B",56,55,54
ENGG*3700 Optimization for Engineers (0.5 Credits),"Saha, J",138,119,107
ENGG*4000 Proposal Engineering Design IV (0 Credits),,320,254,252
ENGG*4040 Medical Imaging Modalities (0.5 Credits),"Ukwatta, E",42,28,27
ENGG*4110 Biological Eng Design IV (1 Credits),"Donald, J",3,2,2
ENGG*4120 Systems & Comp Eng Design IV (1 Credits),"Donald, J",3,1,1
ENGG*4130 Environmental Eng Design IV (1 Credits),"Donald, J",3,2,2
ENGG*4150 Water Resources Design IV (1 Credits),"Donald, J",3,1,1
ENGG*4160 Mechanical Eng Design IV (1 Credits),"Donald, J",12,11,11
ENGG*4170 Computer Engineering Design IV (1 Credits),"Donald, J",10,8,8
ENGG*4180 Biomedical Eng. Design IV (1 Credits),"Donald, J",6,5,5
ENGG*4200 Wireless Sensor Networks (0.5 Credits),"Spachos, P",34,34,34
ENGG*4230 Energy Conversion (0.75 Credits),"Dutta, A",48,48,47
ENGG*4240 Site Remediation (0.5 Credits),"Khalidy, R",36,27,27
ENGG*4340 Solid & Hazardous Waste Mgmt (0.5 Credits),"Abbassi, B",35,30,28
ENGG*4370 Urban Water Systems Design (0.75 Credits),"Binns, A",36,33,31
ENGG*4380 Bioreactor Design (0.75 Credits),"Annamalai, M",20,15,15
ENGG*4390 Bio-instrumentation Design (0.75 Credits),"Li, H",64,58,58
ENGG*4420 Real-Time Systems Design (0.75 Credits),"Spachos, P",72,70,70
ENGG*4450 Large-Scale Software Arch Eng (0.5 Credits),"Zarrinkalam, F",108,96,94
ENGG*4460 Robotic Systems (0.5 Credits),"Li, J",105,105,105
ENGG*4470 Finite Element Analysis (0.5 Credits),"Bardelcik, A",116,113,107
ENGG*4770 Physical & Chemical Treatment (0.5 Credits),"Chiang, Y",30,27,26
ENGG*4810 Atmospheric Particulates (0.5 Credits),"Aliabadi, A",20,17,17
ENGL*1030 Effective Writing (0.5 Credits),"Moore, D",300,299,285
ENGL*1080 Foundations: Critical Reading (0.5 Credits),"Ramirez, P, Beckmann, M",200,199,182
ENGL*1200 Reading the Contemporary World (0.5 Credits),"Moore, D",200,199,176
ENGL*2080 Foundations: Lit Scholarship (0.5 Credits),"Moore, D",75,66,60
ENGL*2090 Studies in Shakespeare (0.5 Credits),"Fortier, M",100,99,95
ENGL*2120 Seminar: Critical Practices (0.5 Credits),"Malcolm, A, Duchesne, S",80,79,78
ENGL*2130 Literature and Social Change (0.5 Credits),"Jackson, R, Miya, C",80,78,75
ENGL*2310 Literature & the Supernatural (0.5 Credits),"Ramirez, P",100,100,96
ENGL*2380 Reading Poetry (0.5 Credits),"O'Quinn, D",110,108,103
ENGL*3200 The Fairy Tale (0.5 Credits),"Schacker, J",95,93,90
ENGL*3340 British Imperial Culture (0.5 Credits),"O'Quinn, D",75,73,64
ENGL*3940 Genre in Cultural Context (0.5 Credits),"Campbell, G",45,44,44
ENGL*3960 Literature in History (0.5 Credits),"Weindling, L",48,48,44
ENGL*4240 Medieval & Early Modern Lit (1 Credits),"Fortier, M",15,7,7
ENGL*4270 United States Literatures (1 Credits),"Campbell, G",15,13,12
ENGL*4310 Special Studies in English (1 Credits),"Schacker, J",15,10,10
ENGL*4810 Directed Reading (0.5 Credits),"O'Quinn, D, Watters, B",3,2,3
ENGL*4910 Honours English Essay (0.5 Credits),"Watters, B",1,1,1
ENVS*1030 Intro Environmental Sciences (1 Credits),"Rooney, N",176,161,158
ENVS*1040 Natural History Great Lakes (0.5 Credits),"Young, A",15,13,12
ENVS*1060 Discovering Planet Earth (0.5 Credits),"Brown, A",190,190,187
ENVS*1100 Fundamentals of Environ. Sci. (0.5 Credits),"Rooney, N",86,82,78
ENVS*2030 Meteorology and Climatology (0.5 Credits),"Wagner Riddle, C",90,84,81
ENVS*2060 Soil Science (0.5 Credits),"Lauzon, J",150,144,134
ENVS*2070 Envir. Ethics & Perspectives (0.5 Credits),"Ferguson, J",100,93,72
ENVS*2120 Intro to Envirnmtl Stewardship (0.5 Credits),"Ferguson, J",120,116,104
ENVS*2130 Eating Sustainably in Ontario (0.5 Credits),"Bolton, K",120,118,119
ENVS*2210 Apiculture & Honey Bee Biol (0.5 Credits),"Guzman, E",135,133,125
ENVS*2230 Communications in Environ. (0.5 Credits),"Haerri, S",50,43,36
ENVS*2240 Environmental Geology (0.5 Credits),"Morozova, G",96,75,67
ENVS*2270 Impacts of Climate Change (0.5 Credits),"Bolton, K",120,120,118
ENVS*2330 Ecosystem Sci. & Biodiversity (0.5 Credits),"Rooney, N",96,94,91
ENVS*3000 Nature Interpretation (0.5 Credits),"Hooykaas, A",100,98,92
ENVS*3010 Climate Change Biology (0.5 Credits),"Haerri, S",140,140,138
ENVS*3020 Pesticides and the Environment (0.5 Credits),"Fairweather, A",125,123,118
ENVS*3040 Natural Chems in the Environ (0.5 Credits),"Haerri, S",140,139,136
ENVS*3080 Soil and Water Conservation (0.5 Credits),"Gillespie, A",80,80,73
ENVS*3140 Mngt of Turfgrass Diseases (0.5 Credits),"Sopher, C",1,0,0
ENVS*3180 Sedimentary Environments (0.5 Credits),"Arnaud, E",24,24,24
ENVS*3210 Plant Pathology (0.5 Credits),"Sopher, C",56,56,56
ENVS*3230 Agroforestry Systems (0.5 Credits),"Thevathasan, N",60,59,59
ENVS*3290 Waterborne Disease Ecology (0.5 Credits),"Habash, M",48,46,45
ENVS*3300 Intro to Controlled Env System (0.5 Credits),"Graham, T",30,30,30
ENVS*4001 Project in Enviro. Sciences (0.5 Credits),"Gillespie, A",115,93,92
ENVS*4090 Soil Management (0.5 Credits),"Lauzon, J",60,58,57
ENVS*4160 Soil and Nutrient Management (0.5 Credits),"Lauzon, J",20,14,14
ENVS*4260 Field Entomology (0.5 Credits),"Young, A",11,7,7
ENVS*4350 Forest Ecology (0.5 Credits),"Dieleman, C",84,84,80
ENVS*4390 Soil Variability & Land Eval. (0.5 Credits),"Heck, R",20,20,20
ENVS*4410 Intro to Advanced Ind Research (0.5 Credits),"Graham, T",15,14,13
ENVS*4420 Advanced Independent Research (0.5 Credits),"Graham, T",5,0,0
ENVS*4430 Advanced Independent Research (1 Credits),"Graham, T",5,2,3
ENVS*4510 Topics in Enviro Sciences (0.5 Credits),"Sibley, P",6,0,0
EQN*1010 Intro to Equine Management (1 Credits),"Merkies, K",30,26,26
EQN*2000 Equine Internship (1 Credits),"Merkies, K",20,15,15
EQN*2080 Equine Event Management (1 Credits),"Merkies, K",30,20,20
EQN*2500 Equine Field Course (0.5 Credits),"Pearson, W",25,8,8
EQN*3250 Equine Exercise Physiology (0.5 Credits),,80,73,73
EQN*4400 Equine Ind Trends & Issues II (0.5 Credits),"Physick-Sheard, P",30,19,18
EURO*1100 European Cinema (0.5 Credits),"Parmegiani, S",150,148,137
EURO*3100 Europe and the World (0.5 Credits),"Odartey-Wellington, D",50,24,21
EURO*3300 Violence & Culture in Europe (0.5 Credits),"Parmegiani, S",50,48,42
EURO*3700 Experiential Learning & Lang (0.5 Credits),"Walsh, J",1,1,1
EURO*4050 Post-Cold War Europe (0.5 Credits),"McDougall, A",20,7,7
FARE*2410 Agri-Food Markets & Policy (0.5 Credits),"Sarker, R",50,43,40
FARE*2700 Survey of Natural Res Econ (0.5 Credits),"Elboeva, O",250,246,233
FARE*3000 Intnl Food Sector & Policy (0.5 Credits),"Henson, S",80,14,13
FARE*3030 The Firm and Markets (0.5 Credits),"Boecker, A",40,30,30
"FARE*3250 Food Security, Nut & Intl Dev (0.5 Credits)","Afesorgbor, S",40,34,32
FARE*3310 Operations Management (0.5 Credits),"Von Massow, M",380,380,380
FARE*3320 Supply & Value Chain Mgmt (0.5 Credits),"Nuno-Ledesma, J",20,11,11
FARE*4290 Land Economics (0.5 Credits),"Naylor, J",20,11,10
FARE*4370 Food & Agri Marketing Mngmt (0.5 Credits),"Boecker, A",55,49,47
FARE*4500 Decision Science (0.5 Credits),"Weersink, A",30,4,4
FARE*4550 Independent Studies I (0.5 Credits),,25,2,1
FARE*4560 Independent Studies II (0.5 Credits),,25,0,0
FIN*2000 Introduction to Finance (0.5 Credits),"Bower-Martin, N",322,308,269
FIN*3000 Investments (0.5 Credits),"Tapon, F",120,118,114
FIN*3100 Corporate Finance (0.5 Credits),"Fan, Z",160,148,140
FIN*3200 Fundamentals of Derivatives (0.5 Credits),"Liu, F",60,60,47
